Country Name;Country Code;1960_0to14;1960_15to64;1960_65plus;2015_0to14;2015_15to64;2015_65plus
Fragile and conflict affected situations;FCS;42,20074722;54,64015252;3,159100257;40,48519024;56,15097097;3,364243298
Finland;FIN;30,4020696;62,28604939;7,311881014;16,33833062;63,18448568;20,4771837
Fiji;FJI;48,32644014;49,53569422;2,137865642;28,74465474;65,42434246;5,831002808
France;FRA;26,26539279;62,14664907;11,58795814;18,48353324;62,39595579;19,12051096
Faroe Islands;FRO;;;;;;
Micronesia, Fed. Sts.;FSM;45,37596264;51,07209412;3,551943241;34,06854298;61,57476546;4,356691557
Gabon;GAB;31,17777034;61,89098718;6,931242475;37,12693272;57,76813432;5,104932962
United Kingdom;GBR;23,14620529;65,10004408;11,75375062;17,77422086;64,46540961;17,76036953
Georgia;GEO;28,63110908;62,30607998;9,06281094;17,32746439;68,6468764;14,02565921
Ghana;GHA;44,3287983;53,2799181;2,391283597;38,81713803;57,78872249;3,394139481
Gibraltar;GIB;;;;;;
Guinea;GIN;40,40341442;56,15337117;3,443214412;42,53199604;54,40458449;3,063419462
Gambia, The;GMB;38,99638245;58,8551052;2,148512349;46,18428428;51,50186547;2,313850252
Guinea-Bissau;GNB;40,3639154;56,70733785;2,928746753;40,79291882;56,03865913;3,168422051
Equatorial Guinea;GNQ;37,03230669;57,94101898;5,026674335;39,26088088;57,85317019;2,885948927
Greece;GRC;26,43998245;65,40898233;8,151035218;14,60232704;64,00111478;21,39655818
Grenada;GRD;49,10138992;46,01440002;4,884210058;26,48350105;66,35712614;7,159372806
Greenland;GRL;;;;;;
Guatemala;GTM;45,78083151;51,54034289;2,6788256;36,62282152;58,53064484;4,846533635
Guam;GUM;40,02487227;58,33895207;1,636175664;25,4666392;65,79862848;8,734732319
Guyana;GUY;46,08257034;50,46577411;3,451655554;28,80697706;66,18653735;5,006485592
High income;HIC;28,64964376;62,54987658;8,800479661;16,78981738;65,98246033;17,22772229
Hong Kong SAR, China;HKG;40,88541599;56,29247742;2,822106594;11,96067554;72,97880634;15,06051812
Honduras;HND;46,07645182;50,75524401;3,168304173;31,76279805;63,3839377;4,853264248
Heavily indebted poor countries (HIPC);HPC;43,21708467;53,92477567;2,858139658;43,33401222;53,52995723;3,136030546
Croatia;HRV;27,50998537;65,55933573;6,9306789;14,89065558;66,17226967;18,93707475
Haiti;HTI;40,27621723;56,50125706;3,22252571;33,74137236;61,62777247;4,630855171
Hungary;HUN;25,32888323;65,68275829;8,988358478;14,55870778;67,62339367;17,81789855
IBRD only;IBD;39,35810774;56,77445233;3,867439934;23,98489634;68,37336707;7,641732264
IDA & IBRD total;IBT;39,8136497;56,41536155;3,770988746;27,79701829;65,57003107;6,632979236
IDA total;IDA;41,79336567;54,85480775;3,35182658;38,18980377;57,92744513;3,882869467
IDA blend;IDB;40,15061431;55,77862748;4,070758213;35,58480134;59,98191436;4,433284301
Indonesia;IDN;39,86918611;56,54664261;3,584171279;27,69238722;67,13388369;5,173729081
IDA only;IDX;42,80211468;54,28752638;2,910358936;39,61074988;56,80679739;3,582635652
Isle of Man;IMN;;;;;;
India;IND;40,30131049;56,63811827;3,060571242;28,78812732;65,5957625;5,616110171
Not classified;INX;;;;;;
Ireland;IRL;30,91779917;57,95767311;11,12452772;21,78056144;65,07993554;13,13950301
Iran, Islamic Rep.;IRN;42,7319651;53,25430498;4,013729918;23,60947147;71,32941383;5,061114707
Iraq;IRQ;41,45298905;55,43415084;3,11286011;40,98275847;55,96100528;3,056236246
Iceland;ISL;34,8928897;57,06586144;8,041248861;20,31964787;65,9664567;13,71389542
Israel;ISR;36,46094461;58,87608493;4,662970461;27,83345709;60,92753058;11,23901233
Italy;ITA;25,05711259;65,44693326;9,495954156;13,71038193;63,87974217;22,4098759
Jamaica;JAM;41,76247184;53,93399039;4,303537771;23,57833915;67,28276415;9,138896695
Jordan;JOR;43,39805454;52,30500365;4,296941816;35,5254237;60,6886757;3,785900594
Japan;JPN;30,15923416;64,11484603;5,725919813;12,85549617;60,80249069;26,34201314
Kazakhstan;KAZ;36,23869635;58,06292259;5,698381062;26,71739925;66,546863;6,735737743
Kenya;KEN;46,43840433;49,88418889;3,677406779;41,90906283;55,288493;2,802444162
Kyrgyz Republic;KGZ;36,36487917;56,5609206;7,07420023;31,4016487;64,37150608;4,226845222
Cambodia;KHM;45,74302256;51,73235914;2,524618296;31,60227833;64,27977868;4,117942991
Kiribati;KIR;45,13750788;51,03555318;3,826938934;34,94658566;61,34954591;3,703868426
St. Kitts and Nevis;KNA;;;;;;
Korea, Rep.;KOR;40,90757177;55,35095518;3,741473049;13,99269992;72,88038108;13,126919
Kosovo;KSV;;;;25,73770492;67,59562842;6,775956284
Kuwait;KWT;35,69525351;62,29643994;2,008306548;22,32410913;75,70577951;1,970111366
Latin America & Caribbean (excluding high income);LAC;42,83198301;53,64948405;3,518532939;25,98090171;66,61692251;7,402175782
Lao PDR;LAO;42,11889559;55,27098829;2,610116116;34,76961192;61,41980114;3,810586939
Lebanon;LBN;41,61082415;52,43868589;5,950489964;23,99303815;67,8712943;8,135667555
Liberia;LBR;41,44820113;56,17648266;2,375316206;42,30572287;54,68284453;3,011432599
Libya;LBY;41,73895283;54,37641505;3,884632114;29,83285015;65,62646633;4,540683527
St. Lucia;LCA;44,625755;51,08619481;4,288050189;23,12553041;67,87712366;8,997345932
Latin America & Caribbean;LCN;42,51219773;53,84362168;3,644180591;25,73016576;66,67637838;7,593455857
Least developed countries: UN classification;LDC;42,63226059;54,5420751;2,825664315;39,97945233;56,44979758;3,570750096
Low income;LIC;42,54762384;54,63344648;2,818929688;42,78433536;53,83622388;3,379440763
Liechtenstein;LIE;;;;;;
Sri Lanka;LKA;41,93966111;53,32971173;4,730627156;24,57383318;66,12291763;9,30324919
Lower middle income;LMC;40,28230195;56,2168092;3,500888846;30,94746097;63,81948843;5,233117692
Low & middle income;LMY;39,90595867;56,36288404;3,731157294;27,87326514;65,55203433;6,574729248
Lesotho;LSO;43,05577088;52,67543798;4,268791138;36,07264937;59,7850514;4,142299236
Late-demographic dividend;LTE;38,76929299;57,06052638;4,170180634;18,71915134;71,7653873;9,515452653
Lithuania;LTU;27,15620429;64,91626596;7,927529751;14,5148789;66,63732171;18,84779939
Luxembourg;LUX;21,18148932;67,99444349;10,82406719;16,43367248;69,58491298;13,98141454
Latvia;LVA;22,23401402;67,18310348;10,5828825;14,92212902;65,71007504;19,36779594
Macao SAR, China;MAC;37,89543673;55,57927398;6,525289287;13,01143964;77,99784209;8,99071827
St. Martin (French part);MAF;;;;;;
Morocco;MAR;44,70546133;52,31276484;2,981773826;27,22206096;66,60970016;6,168238882
Monaco;MCO;;;;;;
Moldova;MDA;31,78607897;62,03451441;6,179406617;15,73340392;74,30866399;9,957932088
Madagascar;MDG;42,68922579;54,04870522;3,262068989;41,70933498;55,45284809;2,837816928
Maldives;MDV;38,43115438;58,99193324;2,576912378;27,47864059;67,8202262;4,701133211
Middle East & North Africa;MEA;42,82606872;53,45611574;3,717815544;30,19756333;65,03577709;4,76665958
Mexico;MEX;45,92982564;50,70644469;3,363729673;27,60543641;65,92757452;6,466989075
Marshall Islands;MHL;;;;;;
Middle income;MIC;39,7133201;56,48900009;3,797679812;26,14936958;66,90652017;6,944142277
Macedonia, FYR;MKD;37,99225346;57,31138793;4,696358614;16,95308963;70,72409143;12,32281894
Mali;MLI;40,82471935;56,90422951;2,271051137;47,52618426;49,95415829;2,519657444
Malta;MLT;40,28159648;52,72900495;6,98939857;14,43213032;66,31977452;19,24809516
Myanmar;MMR;40,51524814;56,12954487;3,35520699;27,55060128;67,08972611;5,359672609
Middle East & North Africa (excluding high income);MNA;42,97462832;53,32429614;3,70107554;31,15016986;63,90455347;4,945276668
Montenegro;MNE;34,83102729;59,0017562;6,167216505;18,6549288;67,70004203;13,64502917
Mongolia;MNG;36,99652752;58,17570439;4,827768091;28,22788694;67,72829483;4,043818225
Northern Mariana Islands;MNP;;;;;;
Mozambique;MOZ;42,26157097;54,9633685;2,775060528;45,30351728;51,34779236;3,348690356
Mauritania;MRT;44,61458685;53,44477201;1,940641132;40,01640785;56,77363651;3,209955639
Mauritius;MUS;46,60534557;50,91868011;2,475974322;19,3221553;71,11478685;9,563057841
Malawi;MWI;44,70793157;52,57314699;2,71892144;45,15698075;51,40162503;3,441394226
Malaysia;MYS;45,5000291;51,07074829;3,429222611;25,01798637;69,09055127;5,890817113
North America;NAC;31,06718686;59,91980977;9,013003376;18,65147716;66,42701149;14,92151135
Namibia;NAM;41,63274112;54,66861396;3,698644914;36,69013311;59,78473502;3,525131872
New Caledonia;NCL;37,35683722;58,99331266;3,649850111;22,2269096;67,60388875;10,16920165
Niger;NER;48,16350201;50,70805593;1,128442053;50,46557838;46,95435276;2,580068867
Nigeria;NGA;41,61860269;55,56193592;2,819461389;43,98916681;53,27411348;2,736719707
Nicaragua;NIC;47,3469259;50,11241362;2,540660485;30,03428788;64,88035578;5,085356341
Netherlands;NLD;30,05620103;61,01046779;8,933331185;16,52327168;65,24625894;18,23046939
Norway;NOR;25,91981722;63,03246552;11,04771726;17,96854595;65,69853542;16,33291863
Nepal;NPL;40,27639606;57,18961374;2,533990193;32,66410883;61,78875768;5,547133483
Nauru;NRU;;;;;;
New Zealand;NZL;32,8836142;58,47388637;8,642499428;20,20690618;64,93159143;14,8615024
OECD members;OED;29,73349228;61,81464845;8,451859275;18,11886344;65,63165022;16,24948634
Oman;OMN;43,64507002;53,3683621;2,986567876;20,52080139;76,89815102;2,581047584
Other small states;OSS;38,25012624;56,73630128;5,01357248;30,9915699;63,5885781;5,419852004
Pakistan;PAK;39,15961525;56,50597026;4,334414489;35,00983783;60,49778125;4,492380924
Panama;PAN;43,85916443;52,52373504;3,617100529;27,16456345;65,20315764;7,632278913
Peru;PER;43,65258367;52,91050983;3,436906495;27,89561799;65,27923773;6,825144287
Philippines;PHL;47,00080002;49,89009068;3,109109294;31,94853554;63,47181927;4,579645191
Palau;PLW;;;;;;
Papua New Guinea;PNG;42,32949678;55,2876855;2,382817723;37,14219417;59,84811507;3,009690759
Poland;POL;33,68106656;60,60956046;5,709372981;14,9462804;69,52039576;15,53332383
Pre-demographic dividend;PRE;42,76098002;54,3553264;2,883693576;44,27463073;52,84951083;2,875858443
Puerto Rico;PRI;42,63023387;52,14780287;5,221963262;18,87662432;66,65588811;14,46748757
Korea, Dem. People’s Rep.;PRK;37,73276837;59,05876475;3,208466884;21,16742556;69,29313592;9,539438521
Portugal;PRT;29,19271223;62,8090779;7,998209866;14,05332063;65,15521117;20,7914682
Paraguay;PRY;47,90597996;48,89527456;3,198745475;30,13382942;63,84570673;6,020463847
Pacific island small states;PSS;46,97817373;50,5465293;2,475296972;34,10083623;61,11286148;4,786302289
Post-demographic dividend;PST;28,15311857;62,99174328;8,855138154;16,20005328;65,70625776;18,09368896
French Polynesia;PYF;43,14255344;54,03737049;2,820076073;22,14107878;70,30880876;7,550112461
Qatar;QAT;41,41918028;55,78008413;2,800735589;15,52156145;83,29536024;1,183078303
Romania;ROU;28,87512971;64,296992;6,827878296;15,52058179;67,16542148;17,31399673
Russian Federation;RUS;30,36628921;63,54848018;6,085230614;16,75191851;69,88223879;13,3658427
Rwanda;RWA;47,77236431;49,25571619;2,971919504;41,05201648;56,1581272;2,789856315
South Asia;SAS;40,39973981;56,45623333;3,144026862;29,81887936;64,76199675;5,419123887
Saudi Arabia;SAU;43,14457784;53,23357981;3,621842346;28,58201229;68,55568159;2,862306126
Sudan;SDN;44,87038771;51,88711981;3,242492478;40,50326282;56,16869213;3,328045053
Senegal;SEN;43,3915646;53,96153023;2,646905173;43,76209617;53,30437887;2,933524962
Singapore;SGP;43,24510105;54,71115578;2,043743167;15,54295881;72,77632438;11,68071681
Solomon Islands;SLB;42,59474501;54,73958378;2,665671211;39,48912852;57,11585682;3,395014659
Sierra Leone;SLE;38,75168962;58,4030534;2,845256981;42,36293278;54,9675788;2,669488426
El Salvador;SLV;44,87463702;51,77833267;3,347030309;27,02860632;64,79959547;8,171798211
San Marino;SMR;;;;;;
Somalia;SOM;42,58280789;54,45624333;2,960948781;46,7050656;50,47089562;2,824038778
Serbia;SRB;;;;16,3003172;66,61731617;17,08236663
Sub-Saharan Africa (excluding high income);SSA;42,89922369;54,15507679;2,94569952;42,94425648;53,96312941;3,092614106
South Sudan;SSD;41,52669131;55,76539639;2,707912302;42,08594102;54,44959777;3,464461209
Sub-Saharan Africa;SSF;42,89846264;54,15527253;2,946264831;42,94244681;53,96458769;3,092965494
Small states;SST;40,21955544;55,16928026;4,611164294;29,90685004;64,17500365;5,918146304
Sao Tome and Principe;STP;32,85036184;63,16862501;3,981013151;42,62755853;54,28697516;3,085466314
Suriname;SUR;47,58942243;48,2729367;4,137640876;26,78189604;66,33233574;6,885768221
Slovak Republic;SVK;31,47890953;61,79648479;6,724605678;15,12364506;71,03128897;13,84506597
Slovenia;SVN;27,66154975;64,56021308;7,778237172;14,78443318;67,24718335;17,96838347
Sweden;SWE;22,43511085;65,81621589;11,74867326;17,2848795;62,77310141;19,94201909
Swaziland;SWZ;45,18043827;52,07239866;2,747163069;37,35495;59,0622159;3,582834099
Sint Maarten (Dutch part);SXM;;;;;;
Seychelles;SYC;38,73320815;55,22653955;6,040252299;23,44538773;69,67586114;6,878751127
Syrian Arab Republic;SYR;46,34278999;49,68320909;3,974000915;37,12271475;58,81298834;4,064296911
Turks and Caicos Islands;TCA;;;;;;
Chad;TCD;40,93337898;55,24569406;3,820926958;47,72033739;49,82892219;2,450740418
East Asia & Pacific (IDA & IBRD countries);TEA;40,36608548;55,99687377;3,637040753;20,28420688;71,3416661;8,374117281
Europe & Central Asia (IDA & IBRD countries);TEC;31,82882616;62,0927036;6,07847024;19,83664053;68,53508403;11,62870848
Togo;TGO;42,96111452;53,8277129;3,211172575;42,2391273;54,99609971;2,764772996
Thailand;THA;42,73486488;53,95029371;3,314841404;17,71077182;71,81735778;10,4718704
Tajikistan;TJK;39,05568462;56,10103511;4,843280274;34,83754438;62,15616749;3,006288129
Turkmenistan;TKM;39,48419235;55,2829901;5,232817551;28,2240148;67,62091091;4,155074289
Latin America & the Caribbean (IDA & IBRD countries);TLA;42,76958627;53,64255145;3,587862278;25,95266278;66,61818952;7,429147701
Middle East & North Africa (IDA & IBRD countries);TMN;42,97462832;53,32429614;3,70107554;31,03814673;63,99206046;4,969792808
Timor-Leste;TLS;41,87918523;55,51974376;2,601071017;42,41102666;52,0088794;5,580093943
Tonga;TON;45,40746753;51,17694805;3,415584416;36,76368089;57,36272017;5,873598945
South Asia (IDA & IBRD);TSA;40,39973981;56,45623333;3,144026862;29,81887936;64,76199675;5,419123887
Sub-Saharan Africa (IDA & IBRD countries);TSS;42,89846264;54,15527253;2,946264831;42,94244681;53,96458769;3,092965494
Trinidad and Tobago;TTO;42,80614416;53,66920414;3,524651701;20,77990542;69,80827711;9,411817471
Tunisia;TUN;43,47646917;52,79259032;3,73094051;23,3567369;69,05117263;7,592090463
Turkey;TUR;42,62802831;54,2231306;3,148841082;25,67050777;66,79079468;7,538697551
Tuvalu;TUV;;;;;;
Tanzania;TZA;45,8084032;51,81620112;2,375395678;45,19869303;51,59933848;3,20196849
Uganda;UGA;45,90222667;51,49187319;2,605900141;48,0906559;49,42045429;2,488889802
Ukraine;UKR;27,25130356;65,61622422;7,132472227;14,92761708;69,76619211;15,30619081
Upper middle income;UMC;39,25549237;56,7080168;4,036490831;20,73358559;70,39096757;8,875439288
Uruguay;URY;27,85987519;63,9798066;8,160318216;21,41498533;64,15050903;14,43450564
United States;USA;30,80295935;60,05109968;9,145940978;18,95034556;66,26358516;14,78606928
Uzbekistan;UZB;34,46186651;59,53609151;6,002041984;28,51991711;66,82234606;4,657736829
St. Vincent and the Grenadines;VCT;49,5948016;46,36803874;4,037159658;24,52906031;68,13871481;7,332224882
Venezuela, RB;VEN;45,79790091;51,89518151;2,306917586;28,10541235;65,62759267;6,26699498
British Virgin Islands;VGB;;;;;;
Virgin Islands (U.S.);VIR;39,68190733;53,65285609;6,665236578;20,36108419;62,03535577;17,60356004
Vietnam;VNM;40,13482694;55,1431419;4,722031165;23,08968745;70,16980564;6,740506907
Vanuatu;VUT;46,18765796;51,33985338;2,472488658;36,53099164;59,26990916;4,199099194
West Bank and Gaza;PSE;;;;40,22265558;56,81757134;2,959773082
World;WLD;37,12165844;57,89326453;4,985077033;26,11293599;65,62039676;8,266691401
Samoa;WSM;49,56141562;48,43389019;2,004694187;37,29066181;57,47562465;5,23371354
Yemen, Rep.;YEM;42,47473681;54,10175655;3,423506638;40,2638023;56,94918217;2,787015533
South Africa;ZAF;40,94297965;55,19181103;3,865209328;29,23922975;65,72740897;5,033361286
Congo, Dem. Rep.;COD;43,36427285;53,70121259;2,934514566;45,9929356;51,0431283;2,963936108
Zambia;ZMB;45,49965143;51,99076202;2,509586547;45,91490243;51,17646337;2,908634204
Zimbabwe;ZWE;45,26384518;51,37365786;3,362496969;41,60034343;55,43512807;2,964528499
